,text,Anger,Fear,Happiness,Hatred,Sadness,Wonder
3,یکی از دوستای دبستانم,0,0,0,0,0,0
8,به نظرم بستگی به روحیه طرف داره ,0,0,0,0,0,0
33,@username ای هارت رادیو همین الان یه ویدیو کوتاه از تورشون منتشر کرد. عکس پروفایل و بیوشون رو عوض کردن و یه سری ویدیو قدیمی توی اسپاتیفای منتشر شده,0,0,0,0,0,0
40,دیوان داوری ورزش، تجدیدنظرخواهی باشگاه منچستر سیتی در خصوص رای مربوط به محکومیت ناشی از تخطی از قوانین مالی یوفا را رد کرد. دیوان مرجع رسیدگی به آرای نهایی است و در این پرونده، رای مورد اعتراض، یک تصمیم نهایی نبوده و تمام مراحل اعتراض قبل از مراجعه به دیوان، طی نشده بوده است.,0,0,0,0,0,0
48,"آیینه را برای شما آدم ها ساختند که 
ببینید این جلد های رنگارنگتان را که روی هیولاهای درونتان ساخته اید",0,0,0,0,0,0
52, کارگران این تأسيسات و پالایشگاهها كه اغلب تحت كنترل سپاه پاسداران است، امنیت شغلی ندارند. قراردادهایی که به آنها تحمیل ک…,0,0,0,0,0,0
54,اگر جماعتی که امروز جوگیر بودن و پست تسلیت برای کوبی گذاشتن رو بذاریم کنار، برای من خیلی جالب بود که یه شخصیتی وجود داره که افراد زیادی در اطرافم عاشقشن و با تمام وجود دوسش دارن، و من اصلا نمیشناسمش و تا امروز اسمشو نشنیده بودم و ندیده بودمش.,0,0,0,0,0,0
66,برای قطعی سراسری نمیگم، منظورم لیست سفیده,0,0,0,0,0,0
67,منم چند دور تز رو خوندم و تمام قسمتهاشو علامت زدم والا انقد پررو ام ک تو نظرم باید خیلی هم amazedبشن از کاری ک من کردم و سوالی نپرسن نمیدونم چجوری سوال دربیارم واسه خودم باید از یکی کمک بگیرم ,0,0,0,0,0,0
70, منم فکر میکنم یه خانم سن‌ بالا با بنز میاد جلو پام ترمز میزنه‌ و... انها تا اخر عمر باهم با خوشی زندگی کردند,0,0,0,0,0,0
